nombre,precios,stock,enlaces
NVIDIA GeForce RTX3080Ti TUF Gaming O12G,$ 1.999.990,7,https://www.pcfactory.cl/producto/42196-asus-video-nvidia-geforce-rtx3080ti-tuf-gaming-o12g
NVIDIA GeForce RTX3080Ti 12GB Gaming X Trio,$ 1.999.990,1,https://www.pcfactory.cl/producto/42238-msi-video-nvidia-geforce-rtx3080ti-12gb-gaming-x-trio
NVIDIA GeForce RTX3080Ti Master 12G,$ 1.999.990,6,https://www.pcfactory.cl/producto/42673-gigabyte-video-nvidia-geforce-rtx3080ti-master-12g
NVIDIA GeForce RTX3080Ti TUF Gaming 12G,$ 1.999.990,7,https://www.pcfactory.cl/producto/43630-asus-video-nvidia-geforce-rtx3080ti-tuf-gaming-12g
AMD Radeon RX 6900XT 16GB Gaming Z Trio,$ 2.299.990,10,https://www.pcfactory.cl/producto/42020-msi-video-amd-radeon-rx-6900xt-16gb-gaming-z-trio
NVIDIA GeForce RTX3080Ti O12GB Rog Strix ,$ 2.349.990,2,https://www.pcfactory.cl/producto/42195-asus-video-nvidia-geforce-rtx3080ti-o12gb-rog-strix
NVIDIA GeForce RTX3080Ti 12GB Rog Strix LC Gaming,$ 2.499.990,1,https://www.pcfactory.cl/producto/43629-asus-video-nvidia-geforce-rtx3080ti-12gb-rog-strix-lc-gaming
AMD Radeon RX 6900XT Rog Strix LC Gaming 16GB,$ 2.599.990,5,https://www.pcfactory.cl/producto/43642-asus-video-amd-radeon-rx-6900xt-rog-strix-lc-gaming-16gb
NVIDIA GeForce RTX3090 O24GB TUF Gaming,$ 2.899.990,5,https://www.pcfactory.cl/producto/38737-asus-video-nvidia-geforce-rtx3090-o24gb-tuf-gaming
NVIDIA RTX3090 O24GB ROG Strix ,$ 2.999.990,14,https://www.pcfactory.cl/producto/39828-asus-video-nvidia-rtx3090-o24gb-rog-strix
